0,0,0,0,0,0,0,1,4,0,2,0,0,2,3,2,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,1,4,6,5,2,3,1,7,17,7,2,2,0,0,0,0,0,10,13,3,0,0,0,3,1,11,1,0,0,0,0,0,0,3,2,0,3,2,7,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,1,0,5,5,11,9,38,31,17,17,5,5,16,16,35,2,3,0,0,0,2,10,30,33,20,3,4,1,6,19,20,6,3,0,1,0,0,4,16,12,3,10,11,53,9,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,4,16,2,25,28,60,32,48,32,8,16,32,25,19,18,2,0,3,0,0,18,51,99,53,3,14,8,34,34,67,19,8,1,0,4,5,11,19,0,8,6,50,26,19,10,1,4,4,3,1,2,1,1,1,0,0,0,0,0,0
0,0,1,4,6,32,41,36,48,49,49,53,56,34,37,69,83,28,23,5,14,13,28,13,22,60,67,69,25,14,43,27,23,51,41,21,14,8,13,22,7,42,24,20,5,14,23,32,15,30,13,31,11,19,10,15,17,5,0,0,1,0,0,0
2,11,14,15,9,17,56,77,67,72,74,107,103,83,74,87,68,44,6,18,20,37,66,50,36,65,172,68,50,21,51,50,48,66,34,62,42,52,66,76,48,23,19,7,1,11,13,35,74,86,68,55,72,51,48,87,75,9,4,8,1,0,0,0
3,13,3,21,26,19,51,109,41,164,110,142,162,98,79,129,131,60,18,27,48,102,87,100,160,300,191,97,60,62,44,47,64,46,37,84,111,177,250,201,99,54,22,11,9,25,31,77,108,98,214,194,116,147,91,77,64,31,39,12,0,2,2,0
7,35,22,49,34,51,48,138,158,79,180,164,139,122,89,118,100,87,34,43,17,134,190,242,259,242,270,186,121,101,43,49,56,73,54,159,197,258,495,345,310,67,26,17,23,61,54,88,135,212,296,254,325,199,83,150,124,60,27,20,7,1,2,0
0,11,22,41,25,55,82,80,177,188,214,309,217,139,127,145,122,69,55,43,104,210,268,309,357,525,352,278,203,179,97,84,108,136,135,195,254,342,545,461,290,186,74,72,110,147,163,166,208,269,295,358,443,272,250,200,136,51,43,31,24,3,1,0
1,6,5,33,42,22,56,74,107,161,320,416,344,348,285,260,125,130,91,58,145,304,350,475,502,420,405,371,266,133,207,241,108,184,177,291,363,341,560,523,374,201,95,127,113,152,219,251,328,342,295,398,480,435,358,171,127,154,67,35,9,9,2,0
1,0,8,17,34,40,32,36,89,254,481,614,520,517,494,343,150,191,98,154,133,350,374,594,619,576,535,367,263,250,216,179,254,241,338,376,391,438,545,633,460,270,216,178,206,206,209,436,424,546,709,535,468,427,318,324,288,207,72,33,49,32,9,3
0,0,6,18,9,47,83,50,100,283,499,565,596,528,597,478,422,135,227,134,218,284,310,420,825,691,713,564,337,184,175,223,251,255,322,407,529,601,538,577,370,231,301,230,205,219,295,436,497,584,644,620,578,623,468,376,287,247,102,57,48,56,7,1
0,0,1,4,39,27,60,52,154,257,252,474,433,479,419,482,398,217,180,199,194,231,401,631,826,641,881,803,354,219,137,191,158,271,394,400,524,709,570,565,468,455,312,183,160,207,397,420,487,589,645,650,456,534,429,327,279,230,103,56,44,35,13,2
0,0,1,5,2,26,63,138,175,173,386,340,352,342,403,440,277,187,193,76,147,111,343,608,672,583,628,555,351,226,160,115,192,207,363,399,626,626,730,501,522,388,257,238,138,192,234,258,388,394,544,465,656,515,548,351,284,153,80,42,28,25,3,1
0,0,0,1,5,37,64,117,206,261,260,285,321,308,335,448,226,139,95,110,131,147,258,338,443,392,584,440,322,172,125,96,102,174,229,503,681,598,487,517,270,340,182,160,112,120,153,261,297,383,436,499,419,335,392,261,126,79,60,15,6,0,1,1
0,0,0,0,12,16,88,122,163,206,298,340,336,389,285,191,132,57,80,88,84,193,157,127,180,289,264,214,183,98,80,77,92,52,192,324,414,388,462,270,356,188,152,107,79,86,105,102,238,313,305,425,332,304,177,153,78,71,27,16,5,2,0,0
0,0,0,0,0,17,63,74,134,170,223,342,273,341,179,90,52,46,53,72,113,133,140,145,168,229,222,136,211,114,65,44,53,65,91,161,255,291,253,236,173,160,161,120,22,59,80,91,113,135,246,226,206,130,92,53,38,48,28,15,1,0,0,0
0,0,0,4,8,20,42,53,70,177,210,152,176,164,124,75,58,38,73,41,70,61,110,122,156,150,152,128,85,47,47,40,28,19,75,77,128,251,236,203,190,88,87,73,23,59,48,105,155,235,126,258,166,174,49,60,24,51,17,9,1,1,0,0
